0.000 m,
43,988.870239
44,988.86908
45,988.8703
46,988.86969
47,988.86969
48,988.869995
49,988.869141
50,988.86908
51,988.869629
52,988.871826
53,988.86908
54,988.868652
55,988.867249
56,988.867493
57,988.867004
58,988.869141
59,988.868042
60,988.87146
61,988.869324
62,988.868774
63,988.867981
64,988.868774
65,988.869873
66,988.868591
67,988.868835
68,988.865967
69,988.868835
70,988.867126
71,988.865967
72,988.869385
73,988.869873
74,988.871887
75,988.872498
76,988.874207
77,988.871826
78,988.873596
79,988.875854
80,988.874939
81,988.876892
82,988.877319
83,988.878296
84,988.878967
85,988.879211
86,988.877258
87,988.87854
88,988.878113
89,988.878052
90,988.879211
91,988.87616
92,988.875366
93,988.877991
94,988.877197
95,988.874695
96,988.875854
97,988.875732
98,988.87616
99,988.879089
100,988.879822
mu,988.873047
std,0.000506
,
0.200 m,
1,988.875732
2,988.878845
3,988.878845
4,988.879211
5,988.877014
6,988.87915
7,988.879395
8,988.881653
9,988.880127
10,988.87854
11,988.878052
12,988.879456
13,988.878662
14,988.879761
15,988.879211
16,988.879944
17,988.88147
18,988.881165
19,988.882507
20,988.881226
21,988.880676
22,988.881165
23,988.881592
24,988.879822
25,988.879639
26,988.877441
27,988.877136
28,988.87854
29,988.877686
30,988.87616
31,988.877258
32,988.877563
33,988.876099
34,988.877136
35,988.878052
36,988.877686
37,988.876099
38,988.876221
39,988.879822
40,988.879089
41,988.879089
42,988.878052
43,988.876587
44,988.877441
45,988.876892
46,988.877747
47,988.875549
48,988.877258
49,988.877869
50,988.875793
51,988.877197
52,988.875854
53,988.878601
54,988.880249
55,988.88031
56,988.879822
57,988.880493
58,988.879272
59,988.880798
60,988.880066
61,988.881653
62,988.88208
63,988.882874
64,988.883667
65,988.883972
66,988.883179
67,988.882568
68,988.881409
69,988.880249
70,988.880676
71,988.880005
72,988.880249
73,988.881104
74,988.883667
75,988.882996
76,988.883423
77,988.885498
78,988.883667
79,988.883911
80,988.884949
81,988.884521
82,988.883606
83,988.884827
84,988.883606
85,988.885681
86,988.88385
87,988.88501
88,988.883301
89,988.882507
90,988.88446
91,988.884399
92,988.881592
93,988.881897
94,988.883545
95,988.881958
96,988.882874
97,988.88208
98,988.88385
99,988.883667
100,988.884949
mu,988.878174
std,0.001627
