Nov  5 2021 14:03:19,Pump Off Samples,N=15,,,
9,1000.107666,1000.083496,1000.168579,1000.020142,207
10,1000.111511,1000.085938,1000.166016,1000.016968,207
11,1000.110962,1000.085999,1000.165222,1000.018982,207
12,1000.109558,1000.088074,1000.171936,1000.017578,207
13,1000.111633,1000.084473,1000.167358,1000.019775,207
14,1000.108887,1000.087341,1000.167664,1000.017395,207
15,1000.108582,1000.083984,1000.167114,1000.018127,206
16,1000.108826,1000.08429,1000.163757,1000.018372,208
17,1000.109375,1000.085571,1000.161926,1000.016846,206
18,1000.108521,1000.082642,1000.161865,1000.018616,208
19,1000.111389,1000.084839,1000.163696,1000.018066,206
20,1000.105286,1000.08374,1000.168701,1000.019348,207
mu,0.1651,0.162476,0.34259,-0.009827,191.25
sd,0.002679,0.003383,0.004897,0.00351,31.51
Q,0.554593,,,,
,,,,,
,,,,,
Nov  5 2021 14:09:22,Pump Off Samples,N=15,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.84491,999.820007,999.727173,999.924011,10
2,999.848755,999.82135,999.727356,999.926086,191
3,999.848389,999.824158,999.729736,999.929321,207
4,999.849121,999.822998,999.729126,999.929626,207
5,999.851624,999.824768,999.72876,999.929443,207
6,999.852478,999.827087,999.730957,999.930481,207
7,999.852722,999.827332,999.733032,999.932129,207
8,999.853882,999.829834,999.73407,999.934326,207
9,999.856262,999.832214,999.736328,999.934631,207
10,999.857971,999.830872,999.737915,999.938965,206
11,999.860535,999.833923,999.740051,999.93866,208
12,999.861633,999.836121,999.73999,999.942017,206
13,999.864319,999.838806,999.743347,999.942627,207
14,999.864929,999.840698,999.743835,999.944092,207
15,999.865967,999.841003,999.744385,999.945251,207
Nov  5 2021 14:09:22,flow rate=0.94,N=20,,,
n,In,Mid,Out,Ambient,t (ms)
1,1000.159241,1000.139832,1000.313843,999.974854,13
2,1000.155457,1000.142578,1000.314514,999.976196,169
3,1000.159363,1000.141357,1000.313354,999.978577,206
4,1000.158691,1000.141846,1000.320801,999.975342,207
5,1000.15979,1000.141724,1000.314941,999.976563,207
6,1000.157349,1000.141724,1000.3172,999.974792,207
7,1000.155029,1000.138672,1000.315613,999.973999,207
8,1000.159424,1000.142334,1000.321899,999.971924,207
9,1000.161743,1000.141479,1000.314697,999.974976,206
10,1000.161255,1000.139709,1000.316711,999.97583,207
11,1000.157715,1000.137573,1000.320007,999.975525,208
12,1000.159241,1000.142334,1000.319702,999.976257,207
13,1000.158508,1000.143127,1000.315918,999.975708,207
14,1000.162109,1000.143799,1000.315247,999.977356,207
15,1000.160889,1000.149292,1000.319519,999.976624,208
16,1000.163757,1000.147949,1000.322449,999.978699,207
17,1000.164063,1000.144775,1000.323486,999.979248,207
18,1000.161743,1000.146423,1000.323486,999.977478,207
19,1000.163147,1000.147095,1000.327942,999.977173,211
20,1000.157959,1000.143799,1000.321899,999.976196,204
mu,0.310425,0.319275,0.58728,0.049011,197.25
sd,0.001844,0.001162,0.003482,0.001652,18.84
Q,0.676505,,,,
,,,,,
,,,,,
Nov  5 2021 14:12:51,Pump Off Samples,N=15,,,
n,In,Mid,Out,Ambient,t (ms)
1,999.803833,999.781433,999.679871,999.884583,9
2,999.803589,999.781311,999.681152,999.882202,178
3,999.805481,999.782593,999.68042,999.882813,207
4,999.805237,999.780518,999.68042,999.883972,208
5,999.806396,999.781738,999.681824,999.884155,212
6,999.806274,999.782471,999.681396,999.884766,203
7,999.804749,999.782471,999.679871,999.88446,208
8,999.80542,999.782104,999.679993,999.884766,207
